MEMBER_NBR,TERM,OPEN_DATE,LOAN_AMOUNT,RATE,CREDIT_SCORE_AT_ORIG,6_MOS_SCORE_CHG,TARGET_DATE,TIME_OBSERVED,CO,STATUS
1444770,48,2024-04-05 00:00:00.000,5000,13.9,713,-16,,9,0,OPEN
1068390,60,2021-07-21 00:00:00.000,21000,11.4,697,28,3/31/2023,20,1,DEFAULT
1758380,60,2022-01-13 00:00:00.000,26800,10.49,684,10,,36,0,OPEN
1739830,36,2022-05-03 00:00:00.000,5145.93,10.4,703,-11,,32,0,OPEN
1673640,60,2023-12-01 00:00:00.000,23720,12.9,813,16,,13,0,OPEN
1860360,48,2022-03-24 00:00:00.000,7000,10.49,686,7,2/28/2023,11,0,CLOSED
2032890,48,2023-12-27 00:00:00.000,10500,14.9,694,32,9/30/2024,9,0,CLOSED
1241030,48,2022-05-11 00:00:00.000,10000,11.4,697,1,9/30/2022,4,0,CLOSED
1376170,60,2022-12-29 00:00:00.000,37500,10.9,736,59,12/31/2024,24,0,CLOSED
1755560,48,2023-10-27 00:00:00.000,15000,13.9,727,-11,,15,0,OPEN
962730,48,2024-01-09 00:00:00.000,14200,11.49,799,50,7/31/2024,6,0,CLOSED
1616270,48,2021-06-11 00:00:00.000,8500,12.4,667,-15,10/31/2022,16,0,CLOSED
1782390,60,2022-02-03 00:00:00.000,20000,8.49,813,-9,,35,0,OPEN
1218510,48,2022-10-03 00:00:00.000,16000,9.9,776,-60,,27,0,OPEN
1654830,60,2023-10-24 00:00:00.000,15000,14.9,686,-15,4/30/2024,6,0,CLOSED
949520,48,2024-11-29 00:00:00.000,9845.11,14.99,666,0,,2,0,OPEN
1534010,48,2022-08-30 00:00:00.000,16000,9.4,768,-30,,29,0,OPEN
1944780,48,2022-09-30 00:00:00.000,7500,10.4,0,0,12/31/2023,15,1,DEFAULT
1842790,48,2023-06-21 00:00:00.000,15000,16.4,672,73,8/31/2024,14,0,CLOSED
1145330,60,2024-04-24 00:00:00.000,20000,12.99,709,20,,9,0,OPEN
356170,48,2021-05-07 00:00:00.000,10000,11.4,675,24,11/30/2024,42,0,CLOSED
1142910,60,2024-06-20 00:00:00.000,15000,11.99,760,46,,7,0,OPEN
2089740,60,2024-09-19 00:00:00.000,21000,13.99,682,0,,4,0,OPEN
2090670,60,2025-01-16 00:00:00.000,20060.52,11.99,752,0,,0,0,OPEN
1631190,60,2023-03-27 00:00:00.000,16500,14.9,675,21,,22,0,OPEN
1709180,48,2024-02-05 00:00:00.000,10388.21,14.49,660,-12,,11,0,OPEN
71477,36,2022-12-19 00:00:00.000,6500,9.9,795,10,8/31/2023,8,0,CLOSED
1672610,36,2022-12-23 00:00:00.000,3599.11,17.9,648,0,,25,0,OPEN
1993260,60,2024-02-13 00:00:00.000,30000,16.49,637,-4,,11,0,OPEN
1194390,60,2022-02-03 00:00:00.000,25000,9.49,718,23,,35,0,OPEN
1727550,60,2023-08-09 00:00:00.000,18000,15.9,659,19,,17,0,OPEN
1847510,60,2024-06-07 00:00:00.000,15000,12.99,721,28,,7,0,OPEN
334230,48,2024-04-01 00:00:00.000,28167,12.49,702,6,,9,0,OPEN
1743470,60,2024-07-08 00:00:00.000,15000,12.99,737,5,,6,0,OPEN
958800,36,2021-12-17 00:00:00.000,14638.9,10.4,704,44,12/31/2024,36,0,CLOSED
1287680,60,2022-06-24 00:00:00.000,35000,9.4,760,-49,,31,0,OPEN
1456170,60,2022-07-27 00:00:00.000,18000,11.4,680,36,,30,0,OPEN
1665120,48,2022-08-22 00:00:00.000,30000,9.4,782,25,,29,0,OPEN
1855120,48,2022-02-23 00:00:00.000,8224.43,11.49,655,49,,35,0,OPEN
894810,48,2023-10-10 00:00:00.000,5000,17.9,647,-89,,15,0,OPEN
1447200,48,2021-08-27 00:00:00.000,3001,11.4,670,-9,11/30/2023,27,0,CLOSED
1151690,48,2023-01-05 00:00:00.000,12800,14.9,693,27,6/30/2023,5,0,CLOSED
1772490,48,2023-08-07 00:00:00.000,11500,17.9,636,27,,17,0,OPEN
2006400,48,2023-08-24 00:00:00.000,7000,15.9,661,69,,17,1,DEFAULT
1455520,12,2024-08-26 00:00:00.000,3500,11.99,805,0,,5,0,OPEN
1694610,60,2024-10-28 00:00:00.000,17000,14.99,662,0,,3,0,OPEN
930930,48,2021-07-20 00:00:00.000,10000,9.4,821,-26,,42,0,OPEN
1709410,36,2021-08-26 00:00:00.000,6000,9.4,746,-3,3/31/2023,19,0,CLOSED
1437900,60,2023-02-27 00:00:00.000,30000,12.9,784,0,10/31/2023,8,0,CLOSED
1624490,40,2024-01-05 00:00:00.000,4000,11.49,761,-1,,12,0,OPEN
1730450,48,2021-08-27 00:00:00.000,10644.14,11.4,674,28,,41,0,OPEN
1508620,48,2022-11-28 00:00:00.000,11860,10.9,712,-24,,26,0,OPEN
1413710,24,2024-08-02 00:00:00.000,4000,11.99,778,0,,5,0,OPEN
2072750,48,2024-09-30 00:00:00.000,3500,12.99,707,0,,4,0,OPEN
1385870,48,2022-07-27 00:00:00.000,26600,11.4,684,13,8/31/2022,1,0,CLOSED
1702680,48,2022-07-26 00:00:00.000,6000,10.4,736,-3,7/31/2024,24,0,CLOSED
147281,60,2022-12-13 00:00:00.000,30000,9.9,878,-21,,25,0,OPEN
1216180,60,2023-08-25 00:00:00.000,30000,12.9,783,14,,17,0,OPEN
1940890,48,2023-11-22 00:00:00.000,10500,17.9,627,21,,14,0,OPEN
1065700,60,2024-02-08 00:00:00.000,30000,13.49,692,81,,11,0,OPEN
72403,24,2024-08-23 00:00:00.000,7500,14.99,665,0,,5,0,OPEN
1096080,36,2022-07-12 00:00:00.000,8220.73,14.4,636,89,4/30/2024,21,0,CLOSED
1461450,24,2022-12-23 00:00:00.000,5000,12.9,752,-23,2/28/2023,2,0,CLOSED
1340510,24,2024-03-18 00:00:00.000,3000,0,0,0,,10,0,OPEN
1880990,48,2024-06-18 00:00:00.000,8500,11.99,787,42,,7,0,OPEN
972640,60,2024-10-03 00:00:00.000,30000,11.99,810,0,,3,0,OPEN
244450,24,2021-08-30 00:00:00.000,4000,11.4,681,28,1/31/2023,17,0,CLOSED
1627610,60,2021-11-29 00:00:00.000,20000,10.4,723,15,1/31/2024,26,0,CLOSED
2026730,48,2022-02-17 00:00:00.000,12000,10.49,682,0,,35,0,OPEN
1732110,48,2022-06-08 00:00:00.000,5000,11.4,698,-23,9/30/2024,27,1,DEFAULT
1792350,60,2024-03-05 00:00:00.000,17000,11.49,750,19,,10,0,OPEN
1869770,60,2024-08-14 00:00:00.000,30000,11.99,783,0,,5,0,OPEN
1266520,60,2021-02-18 00:00:00.000,35000,8.49,755,67,,47,0,OPEN
1264560,60,2022-12-12 00:00:00.000,30000,9.9,819,-81,,25,0,OPEN
1820450,36,2023-02-07 00:00:00.000,7000,13.9,736,-6,12/31/2023,10,0,CLOSED
1442830,48,2023-11-06 00:00:00.000,4000,13.9,706,-37,,14,0,OPEN
1647750,60,2024-09-10 00:00:00.000,22000,13.99,678,0,,4,0,OPEN
3202870,48,2022-02-11 00:00:00.000,3611.56,16.49,562,0,,35,0,OPEN
1869090,48,2022-04-12 00:00:00.000,5000,9.49,709,12,,33,0,OPEN
1949100,36,2022-10-05 00:00:00.000,17838.05,10.4,700,0,10/31/2024,24,1,DEFAULT
1187740,36,2024-06-13 00:00:00.000,6000,12.99,700,-65,,7,0,OPEN
1813240,60,2021-11-10 00:00:00.000,15000,12.4,669,13,,38,0,OPEN
1690480,36,2024-07-15 00:00:00.000,6534.08,13.99,694,-80,,6,0,OPEN
1726630,60,2023-11-20 00:00:00.000,30000,13.9,733,8,,14,0,OPEN
1744290,36,2023-12-19 00:00:00.000,8253,20.9,597,10,1/31/2024,1,0,CLOSED
1407780,48,2024-03-27 00:00:00.000,15000,12.49,708,67,,10,0,OPEN
798150,60,2024-04-05 00:00:00.000,29445,12.9,821,35,,9,0,OPEN
1858240,48,2024-12-24 00:00:00.000,4400,19.99,603,0,,1,0,OPEN
1057350,36,2021-02-24 00:00:00.000,6000,8.49,764,-2,2/29/2024,36,0,CLOSED
1418990,48,2021-03-30 00:00:00.000,5500,11.49,663,-28,,46,0,OPEN
937160,60,2022-04-29 00:00:00.000,15100,11.4,694,63,,33,0,OPEN
1164680,48,2022-05-02 00:00:00.000,7300,9.4,779,-170,9/30/2024,28,0,CLOSED
9094,48,2022-01-28 00:00:00.000,35455.87,8.49,779,15,,36,0,OPEN
276370,60,2022-07-08 00:00:00.000,22500,9.4,820,-15,3/31/2023,8,0,CLOSED
1445170,48,2023-06-13 00:00:00.000,4500,16.9,666,-3,4/30/2024,10,0,CLOSED
648390,48,2024-07-09 00:00:00.000,3001,11.99,788,-5,10/31/2024,3,0,CLOSED
623330,48,2023-02-02 00:00:00.000,11790,13.9,702,-12,3/31/2024,13,1,DEFAULT
2092530,60,2024-09-25 00:00:00.000,15000,16.99,645,0,,4,0,OPEN
1012090,60,2022-02-28 00:00:00.000,30000,8.49,781,12,,35,0,OPEN
1705070,48,2022-07-18 00:00:00.000,6157.99,14.4,633,26,11/30/2024,28,1,DEFAULT
1947970,60,2022-09-20 00:00:00.000,30000,10.4,700,13,,28,0,OPEN
1931350,36,2023-01-19 00:00:00.000,12000,13.9,701,9,,24,0,OPEN
1128970,60,2022-11-30 00:00:00.000,27500,9.9,760,26,4/30/2024,17,0,CLOSED
1960280,48,2022-12-05 00:00:00.000,7000,11.9,696,46,,25,0,OPEN
1394220,36,2023-03-22 00:00:00.000,10000,12.9,823,15,,22,0,OPEN
2040180,48,2024-01-30 00:00:00.000,13800,14.49,663,55,,12,0,OPEN
1431670,60,2021-03-30 00:00:00.000,15000,9.49,726,-21,12/31/2022,21,1,DEFAULT
1651900,48,2021-06-24 00:00:00.000,6300,10.4,727,72,12/31/2024,42,0,CLOSED
1828520,48,2023-03-22 00:00:00.000,7500,0,0,0,7/31/2023,4,1,DEFAULT
2053410,48,2022-08-30 00:00:00.000,12000,11.4,672,0,4/30/2024,20,0,CLOSED
829480,60,2022-01-19 00:00:00.000,18598.22,10.49,690,54,7/31/2022,6,0,CLOSED
204340,48,2022-02-05 00:00:00.000,16000,10.49,676,-4,6/30/2023,16,0,CLOSED
1182710,60,2022-05-27 00:00:00.000,25373.16,12.4,669,49,,32,0,OPEN
1798940,48,2022-07-22 00:00:00.000,4500,11.4,682,-50,6/30/2023,11,0,CLOSED
1681070,36,2021-06-18 00:00:00.000,5000,11.4,677,-18,2/28/2022,8,1,DEFAULT
1720870,48,2022-01-24 00:00:00.000,10000,9.49,710,9,4/30/2023,15,0,CLOSED
1563190,48,2022-08-11 00:00:00.000,14000,8.9,793,-63,,29,0,OPEN
1230900,60,2023-10-19 00:00:00.000,15500,13.9,731,4,,15,0,OPEN
2027070,48,2023-11-29 00:00:00.000,4000,20.9,616,-81,11/30/2024,12,1,DEFAULT
1512080,48,2024-01-22 00:00:00.000,7500,11.49,764,-48,,12,0,OPEN
900610,48,2024-04-02 00:00:00.000,4359.28,11.49,774,-10,,9,0,OPEN
1175110,48,2021-03-25 00:00:00.000,8000,8.49,743,20,2/28/2023,23,0,CLOSED
1250980,60,2022-03-10 00:00:00.000,25000,8.49,745,88,,34,0,OPEN
644450,60,2023-04-19 00:00:00.000,20500,16.4,692,-48,5/31/2024,13,0,CLOSED
1394010,48,2023-08-04 00:00:00.000,12500,12.9,746,-14,,17,0,OPEN
1554260,60,2021-12-09 00:00:00.000,23781.06,9.4,784,-61,,37,0,OPEN
1943090,48,2023-07-21 00:00:00.000,22500,14.4,851,-160,7/31/2024,12,0,CLOSED
2062140,60,2024-05-14 00:00:00.000,21200,12.99,728,-108,,8,0,OPEN
1838200,48,2025-01-30 00:00:00.000,10000,13.99,675,0,,0,0,OPEN
1588540,60,2024-07-31 00:00:00.000,29000,11.99,786,28,,6,0,OPEN
1720690,60,2021-03-18 00:00:00.000,17004.44,10.49,697,2,,46,0,OPEN
1165660,36,2021-08-02 00:00:00.000,8000,10.4,705,41,2/28/2023,18,0,CLOSED
1960690,60,2022-12-02 00:00:00.000,20000,9.9,861,-186,2/29/2024,14,0,CLOSED
1964250,48,2023-12-08 00:00:00.000,25000,13.9,739,-16,,13,0,OPEN
2091560,48,2024-09-20 00:00:00.000,12000,14.99,661,0,,4,0,OPEN
1533310,48,2025-01-16 00:00:00.000,11030.32,11.99,774,0,,0,0,OPEN
1738020,48,2022-08-01 00:00:00.000,12000,11.4,691,-89,,29,0,OPEN
1735110,60,2022-09-15 00:00:00.000,30000,10.4,693,6,,28,0,OPEN
1766220,48,2022-11-15 00:00:00.000,10000,11.9,679,-2,,26,0,OPEN
2084650,60,2024-08-21 00:00:00.000,25000,11.99,745,0,,5,0,OPEN
1820450,48,2023-12-08 00:00:00.000,9600,13.9,715,-4,,13,0,OPEN
1451290,48,2021-06-29 00:00:00.000,5500,11.4,684,-5,,43,0,OPEN
1569720,48,2021-08-16 00:00:00.000,10000,11.4,671,63,,41,0,OPEN
1587100,48,2021-08-26 00:00:00.000,4500,12.4,659,-20,10/31/2022,14,0,CLOSED
766130,48,2022-03-18 00:00:00.000,7000,8.49,752,40,10/31/2024,31,0,CLOSED
1934260,48,2023-11-24 00:00:00.000,3500,14.9,670,-26,3/31/2024,4,0,CLOSED
2044760,48,2024-12-24 00:00:00.000,10500,12.99,703,0,,1,0,OPEN
3206500,48,2025-01-14 00:00:00.000,5776.36,11.99,845,0,,0,0,OPEN
644450,48,2022-04-05 00:00:00.000,10000,11.4,683,20,4/30/2023,12,0,CLOSED
1033650,60,2022-09-20 00:00:00.000,25000,14.4,631,1,,28,0,OPEN
505480,36,2022-12-08 00:00:00.000,5000,10.9,738,40,5/31/2023,5,0,CLOSED
286800,48,2023-11-06 00:00:00.000,5000,12.9,797,-4,12/31/2023,1,0,CLOSED
1747310,48,2024-03-15 00:00:00.000,15000,13.49,687,-6,,10,0,OPEN
1452580,60,2024-06-14 00:00:00.000,19750,11.99,761,53,,7,0,OPEN
1743660,36,2021-12-23 00:00:00.000,4200,10.4,707,11,10/31/2022,10,0,CLOSED
1497960,60,2023-01-25 00:00:00.000,15000,12.9,780,-1,,24,0,OPEN
1704510,48,2023-02-14 00:00:00.000,6500,0,673,46,5/31/2023,3,1,DEFAULT
124140,60,2024-01-30 00:00:00.000,20000,11.49,821,-15,5/31/2024,4,0,CLOSED
